s3a_decision,s3a_reason,s3a_basis,s3a_confidence,n
exclude,neither_yield_nor_method,absence_of_evidence,medium,10671
exclude,yield_not_modelled_outcome,absence_of_evidence,medium,8422
uncertain,yield_object_not_declared_in_title,combined,low,4168
include,all_criteria_affirmative,affirmative_evidence,high,4143
uncertain,insufficient_metadata,absence_of_evidence,low,3588
include,empirical_marker_not_named,combined,medium,2902
uncertain,no_crop_context_no_abstract,absence_of_evidence,low,2739
exclude,no_crop_context,absence_of_evidence,medium,2048
exclude,ineligible_document_type,affirmative_evidence,high,1717
uncertain,no_ai_method_no_abstract,absence_of_evidence,low,675
uncertain,yield_unclear_no_abstract,absence_of_evidence,low,652
exclude,process_model_not_ai,affirmative_evidence,high,597
exclude,no_ai_method_named,absence_of_evidence,medium,403
exclude,s2e_non_crop_domain,affirmative_evidence,high,318
exclude,s2e_review_or_synthesis,affirmative_evidence,high,238
exclude,s2e_editorial_or_opinion,affirmative_evidence,high,108
exclude,s2e_paratext,affirmative_evidence,high,64
exclude,s2e_retracted,affirmative_evidence,high,48
exclude,s2e_erratum,affirmative_evidence,high,42
