openalex_id,stratum,stratum_size,stratum_sampled,design_weight,title,abstract,loc_study_scope,loc_country_iso3,loc_country_name,loc_countries_all_iso3,loc_location_cue_type,loc_confidence,loc_evidence_text,loc_rejected_mentions,crop_standardized_crops,crop_crop_scope,crop_confidence,crop_evidence_text,is_allocated,adjudicated_location_correct,adjudicated_country_should_be,adjudicated_crop_correct,adjudicated_note,decision_method,is_human_review,id,loc_verdict,loc_should_be,loc_error_type,crop_verdict,crop_should_be,note,allocated_to,n_alloc,truth,alloc_verdict
W4296445924,single_country|study_area,962,45,21.377777777777776,Durum wheat yield forecasting using machine learning,"A reliable and accurate forecasting model for crop yields is crucial for effective decision-making in every agricultural sector. Machine learning approaches allow for building such predictive models, but the quality of predictions decreases if data is scarce. In this work, we proposed data-augmentation for wheat yield forecasting in the presence of small data sets of two distinct Provinces in Algeria. We first increased the dimension of each data set by adding more features, and then we augmented the size of the data by merging the two data sets. To assess the effectiveness of data-augmentation approaches, we conducted three sets of experiments based on three data sets: the primary data sets, data sets with additional features and the augmented data sets obtained by merging, using five regression models (Support Vector Regression, Random Forest, Extreme Learning Machine, Artificial Neural Network, Deep Neural Network). To evaluate the models, we used cross-validation; the results showed an overall increase in performance with the augmented data. DNN outperformed the other models for the first Province with a Root Mean Square Error (RMSE) of 0.04 q/ha and R_Squared (R2) of 0.96, whereas the Random Forest outperformed the other models for the second Province with RMSE of 0.05 q/ha. The data-augmentation approach proposed in this study showed encouraging results. LaTeX manuscript.",single_country,DZA,Algeria,DZA,study_area,high,"In this work, we proposed data-augmentation for wheat yield forecasting in the presence of small data sets of two distinct Provinces in Algeria.",,wheat,single_crop,high,Durum wheat yield forecasting using machine learning . A reliable and accurate forecasting model for,True,,,,,MODEL_ASSISTED_VALIDATION - not human review,False,W4296445924,correct,,,correct,,,{'DZA'},1,,allocation_ok
W4387491375,single_country|study_area,962,45,21.377777777777776,"Time series and ensemble models to forecast banana crop yield in Tanzania, considering the effects of climate change","Banana cultivation plays a pivotal role in Tanzania's agricultural landscape and food security. Precisely forecasting banana crop yield is essential for resource optimization, market stability, and informed policymaking, particularly in the face of climate change. This study employed time series and ensemble models to forecast banana crop yield in Tanzania, offering crucial insights into future production trends. We utilized Seasonal ARIMA with Exogenous Variables (SARIMAX), State Space (SS), and Long Short-Term Memory (LSTM) models, chosen based on regression analysis and data exploration. Leveraging historical banana yield data (1961-2020) and relevant climate variables, we formulated an ensemble model using a weighted average approach. Our findings underscore the potential of time series and ensemble models for accurate banana crop yield forecasting. Statistical evaluation metrics validate their effectiveness in capturing temporal variations and delivering reliable predictions. This research advances agricultural forecasting by demonstrating the successful application of these models in Tanzania. It emphasizes the importance of considering temporal dynamics and relevant factors for precise predictions. Policymakers, farmers, and stakeholders can leverage this study's outcomes to make informed decisions on resource allocation, market planning, and agricultural policies. Ultimately, our research bolsters sustainable banana production and enhances food security in Tanzania.",single_country,TZA,Tanzania,TZA,study_area,high,"Time series and ensemble models to forecast banana crop yield in Tanzania, considering the effects of climate change .",,banana_plantain,single_crop,high,"Time series and ensemble models to forecast banana crop yield in Tanzania, considering the effects of climate change . Banana cultivation plays",True,,,,,MODEL_ASSISTED_VALIDATION - not human review,False,W4387491375,correct,,,correct,,,{'TZA'},1,,allocation_ok
W2567188132,single_country|study_area,962,45,21.377777777777776,Assimilation of SAR and optical data into an agro-meteorological model for monitoring yield of corn,"This study aims to assess the contribution of SAR and optical satellite images to estimate corn biophysical parameters and crop yield at field scale. Satellite data are assimilated into a simple agro-meteorological model named SAFY-WB (Simple Algorithm For Yield estimates combined with a Water Balance model), in order to simulate leaf area index, dry mass and yield. The method has been assessed thanks to data collected over two study areas (both located in the South-West of France), during two experimental campaigns: MCM'10 and MCM'15 (Multispectral Crop Monitoring), respectively performed in 2010 and 2015. SAR backscattering coefficients were acquired in the C-band, and extracted from two satellites: Radarsat-2 (full-polarization states) and Sentinel-1 (VV and VH polarizations) in 2010 and 2015 respectively. Vegetation indices (NDVI, MTVI2) have been extracted from optical images at high spatial resolution (i.e. Landsat, Spot and Formosat satellite missions). First results demonstrate that optical and SAR (σ°HV) data can be used for monitoring leaf area index and dry mass of the corn during the growing period, until flowering. From the end of the growing period and during the senescence, the SAR signals saturate and are weakly sensitive to the decrease of the crop water content, contrary to optical reflectance that strongly decrease with the color change of leaves and stems. Consequently, the best approach consists in assimilating SAR or optical data until flowering and mainly assimilating optical data from flowering to harvest, for best performances in the monitoring of yield, leaf area index and dry mass of corn.",single_country,FRA,France,FRA,study_area,high,"The method has been assessed thanks to data collected over two study areas (both located in the South-West of France), during two experimental campaigns: MCM'10 and MCM'15 (Multispectral Crop Monitoring), respectively performed in 2010 and 2015.",,maize,single_crop,high,Assimilation of SAR and optical data into an agro-meteorological model for monitoring yield of corn . This study aims to assess the contribution of SAR and optical satellite images to estimate co,True,,,,,MODEL_ASSISTED_VALIDATION - not human review,False,W2567188132,correct,,,correct,,,{'FRA'},1,,allocation_ok
W7126428592,single_country|study_area,962,45,21.377777777777776,Estimation of County-Level Winter Wheat Yield in China Using a Feature Conflict-Resolving TB-LSTM Model,"Timely and accurate estimation of regional winter wheat yield is of great significance for safeguarding food security and promoting sustainable agricultural development. In recent years, deep learning has been widely applied in crop yield estimation due to its powerful capability in mining complex relationships. However, the irregular shapes of administrative regions pose challenges for integrating spatial data such as remote sensing into deep learning models. To address this issue, this study employed mean-based aggregation and histogram-based dimensionality reduction techniques to preprocess spatial data, including remote sensing and meteorological data, thereby generating sample sets suitable for deep learning models. This study identified the phenomenon of feature conflict when processing heterogeneous features in conventional Long Short-Term Memory (LSTM) models and proposed a TB-LSTM (Two-Branch LSTM) model to mitigate such conflicts. The impact of different input feature combinations on estimation accuracy was analyzed, and the model's capability for early yield prediction was further evaluated. The results show that: (1) The proposed TB-LSTM model achieved superior performance (R2: 0.853, RMSE: 516.619 kg/ha) compared to the baseline LSTM (R2: 0.353-0.732; RMSE: 735.378-1126.062 kg/ha), confirming its efficiency in resolving feature conflict and better exploiting the yield estimation potential of remote sensing and meteorological data. (2) The integration of meteorological data, spectral reflectance, and vegetation indices proved essential for achieving optimal yield estimation accuracy. Meteorological data provided the most significant contribution, while spectral reflectance and vegetation indices offered complementary information that improved model robustness. When all three data types were utilized simultaneously, the TB-LSTM model achieved peak estimation accuracy (R2: 0.853; RMSE: 514.013 kg/ha; MAE: 380.563 kg/ha). (3) The TB-LSTM model demonstrated robust early prediction capability. Using data from the first 27 time phases (covering growth stages up to heading), it successfully predicted winter wheat yields 48 days before harvest with optimal precision (R2: 0.868; RMSE: 487.327 kg/ha; MAE: 361.353 kg/ha). This capability supports proactive decision-making and resource allocation in agricultural management.",single_country,CHN,China,CHN,study_area,high,Estimation of County-Level Winter Wheat Yield in China Using a Feature Conflict-Resolving TB-LSTM Model .,,wheat,single_crop,high,Estimation of County-Level Winter Wheat Yield in China Using a Feature Conflict-Resolving TB-LSTM Model . Timely and accurate e,True,,,,,MODEL_ASSISTED_VALIDATION - not human review,False,W7126428592,correct,,,correct,,,{'CHN'},1,,allocation_ok
W2102296257,single_country|study_area,962,45,21.377777777777776,Use of CERES-Wheat model for wheat yield forecast in central Indo-Gangetic Plains of India,"A methodology was developed for large area yield forecast using a crop simulation model and a discrete technology trend, and was applied to the coherent wheat yield variability zones of Eastern Uttar Pradesh, India. The approach consisted of three major steps: (a) prediction of technology trend yield using historical yield series of the region; (b) prediction of weather-induced deviation in wheat yield using CERES-Wheat simulation model and relating weather-induced deviation in simulated yield to deviation in observed yield deviations from technology trend; and (c) final yield forecast by incorporating predicted yield deviation in trend predicted yield. The regression coefficients for step (b) were generated using 10 years' data (1984/85-1994/95) and the reliability of the approach was tested on a data set of 5 years' independent data (1995/96-1999/2000). The results showed that this approach could capture year-to-year variability in large area wheat yield with reasonable accuracy. The Root Mean Square Error (RMSE) between observed and predicted yield was reported as 0·098 t/ha for the mean yield of 2·072 t/ha (4·72%). However, the RMSE was slightly higher in the forecasting period in comparison to the calibration period. The use of this methodology for issuing the pre-harvest forecast and the effect of upgrading the technology trend were also studied. The pre-harvest forecasts were made using in-season weather data up to the end of February and climatic-normal for the rest of the wheat-growing season, which showed good agreement with observed wheat yields. The forecasts of wheat yield for the season 1999/2000 were made using the technology trend up to 1994/95 and the updated technology trend up to 1998/99, which showed that the RMSE fell in the latter case, from 4·10 to 2·50%.",single_country,IND,India,IND,study_area,high,Use of CERES-Wheat model for wheat yield forecast in central Indo-Gangetic Plains of India .,,wheat,single_crop,high,Use of CERES-Wheat model for wheat yield forecast in central Indo-Gangetic Plains of India . A methodology was de,True,,,,,MODEL_ASSISTED_VALIDATION - not human review,False,W2102296257,correct,,,correct,,,{'IND'},1,,allocation_ok
W4407184927,single_country|study_area,962,45,21.377777777777776,Sorghum yield prediction based on remote sensing and machine learning in conflict affected South Sudan,"Sorghum cultivation plays a pivotal role in addressing food insecurity in South Sudan, but persistent conflict continues to impose challenges in the agriculture sector therefore understanding the impact of conflict on sorghum yield prediction is important for country food security. This research integrates various sources of data including sorghum yield from small scale farmers during four agricultural seasons (2018-2021), climate, remotely sensed data, and conflict occurrence probability to predict sorghum yield in South Sudan. We use five Machine Learning (ML) techniques, including Random Forest (RF), Decision Tree (DT), Extreme Gradient Boosting (XGboost), Support Vector Machine (SVM) and Artificial Neural Network (ANN) to predict 2021 end-of-season sorghum yield in conflict affected Upper Nile and Western Bahr El Gazal states. We computed correlations and the analysis revealed high variability in term of yield in the 2 states with an average sorghum yield of 366.03 kg/ha (SD = 292.29 kg/ha) and a strong positive correlation (0.75, p < 0.001) between cultivated land size and sorghum yield. During the training phase DT, RF, XGboost and ANN models showed high accuracy, with each having an R2 > 70%. DT and XGboost both had an accuracy close to 80% and less prediction error. Predicting 2021 sorghum yield, XGboost, DT and RF models yielded best combination of metrics with good accuracy. Our results reveal that adding conflict occurrence probability data to the models, while complex, had minimal impact on yield predictions. Further analysis revealed cultivated land size was the most significant predictor for all the models. This paper demonstrates that despite ongoing conflict, reasonably good end-of-season sorghum yield prediction with relevant food security planning implications could be done with ML, but challenges remain in generalizing these results due to limited crop data and regional variability in South Sudan.",single_country,SSD,South Sudan,SSD,study_area,high,"This research integrates various sources of data including sorghum yield from small scale farmers during four agricultural seasons (2018-2021), climate, remotely sensed data, and conflict occurrence probability to predict sorghum yield in South Sudan.",South Sudan(affiliation/publication context),sorghum,single_crop,high,Sorghum yield prediction based on remote sensing and machine learning in conflict affected South Sud,True,,,,,MODEL_ASSISTED_VALIDATION - not human review,False,W4407184927,correct,,,correct,,,{'SSD'},1,,allocation_ok
W4392603093,single_country|study_area,962,45,21.377777777777776,ESTIMATION OF SUGARCANE YIELD USING MULTI-TEMPORAL SENTINEL 2 SATELLITE IMAGERY AND RANDOM FOREST REGRESSION,"Abstract. Advancements in remote sensing techniques have greatly enhanced crop monitoring and yield estimation, with spectral vegetation indices (VIs) serving as a key component. Our study investigates the use of Sentinel-2 data, notable for its red-edge bands, in estimating sugarcane yield in Ethiopia's Awash Basin. Utilizing 22 VIs from S2 imagery, our approach combines Random Forest (RF) regression with the Recursive Feature Elimination (RFE) algorithm to improve the accuracy of sugarcane yield predictions. The results demonstrate the superior performance of the RF-RFE method over traditional RF with full datasets and Stepwise Multiple Regression (SMR). Particularly, VIs focusing on the red-edge spectral bands of S2 - such as NDVIre1n, NDVIre2n, NDVIre3n, NDRE1 and NDRE2 - were crucial in enhancing prediction precision. These indices from the red-edge and NIR narrow bands consistently influenced yield estimations in both the Wonji-Shoa and Metehara estates. The study underscores the critical role of the RFE algorithm in optimal variable selection, reinforcing earlier findings that precise variable choice can substantially boost model accuracy. The enhanced performance of the RF model when paired with the RFE algorithm was evident, emphasizing the importance of variable selection in accurate yield predictions. Employing the Out-of-Bag RMSE (OOB_RMSE) error estimate for evaluation, we observed variations in OOB_RMSE performance with different RF parameters, identifying the ntree value of 500 as optimal for the studied regions. The RF-RFE model's estimations showed lower errors and higher correlation coefficients, proving its efficacy over a full dataset approach, which faced challenges with traditional VIs' saturation. Our findings align with earlier studies, highlighting the efficiency of S2's red-edge bands in diverse estimation tasks and a shift towards using freely available broadband images like S2, over hyperspectral imagery, due to reduced data redundancy and processing costs. In conclusion, our findings reveal that RF regression, particularly when integrated with the RFE algorithm, is a powerful tool in remote sensing applications. The S2 imagery is optimal VIs, predominantly from the red-edge bands, exhibit significant potential for sugarcane yield estimations. The impressive results of the RF-RFE method, evident in metrics like MAE, MAPE, RMSE, Mean percentage, and R2, advocate its invaluable role in sugarcane yield prediction, highlighting its potential for optimizing irrigation management strategies and broad-spectrum agricultural planning.",single_country,ETH,Ethiopia,ETH,study_area,high,"Our study investigates the use of Sentinel-2 data, notable for its red-edge bands, in estimating sugarcane yield in Ethiopia's Awash Basin.",,sugarcane,single_crop,high,ESTIMATION OF SUGARCANE YIELD USING MULTI-TEMPORAL SENTINEL 2 SATELLITE IMAGERY AND RANDOM FOREST REGRESSION . Abs,True,,,,,MODEL_ASSISTED_VALIDATION - not human review,False,W4392603093,correct,,,correct,,,{'ETH'},1,,allocation_ok
W7161042727,single_country|study_area,962,45,21.377777777777776,Interpretable Machine Learning Framework for Early-Stage Potato Yield Forecasting Using Climatic Features in Bangladesh,"Abstract: Bangladesh, one of the world's major potato-producing countries, faces significant yield variability driven by changing climatic conditions, with profound implications for agricultural productivity and food security. However, the specific impact of meteorological factors on potato production has not been thoroughly investigated. The present paper aims to provide a robust quantitative framework for assessing the relative effects of agro-climatic variables on potato yield formation. Weather variables that were statistically significantly related to the mortality count were first selected using Analysis of Variance (ANOVA) with F-regression feature ranking and Individual Weather Importance ranking through Random Forest. Pearson and Spearman's correlation analyses were additionally performed to assess the strength and direction of these relationships, along with bivariate kernel density estimation (KDE) used to enlarge climatic optima toward yield maximization. For testing predictive robustness, climatic variability was taken into account, and three machine learning algorithms -RF (Random Forest), SVR (Support Vector Regression), and KNN (K-Nearest Neighbors) -were investigated. The RF model was the most accurate and generalizable, yielding almost perfect results (R² = 0.999) and minimal forecast errors (MAPE = 0.70%, MAE = 0.0803, RMSE = 0.1014). The developed framework enhances the understanding of climate-yield relationships and provides practical insights for science-based agricultural management and adaptation to climatic stress. These results have immediate implications for middle-income agrarian economies, such as Bangladesh, in strengthening resilience to climatic variability through sustainable food security.",single_country,BGD,Bangladesh,BGD,study_area,high,Interpretable Machine Learning Framework for Early-Stage Potato Yield Forecasting Using Climatic Features in Bangladesh .,,potato,single_crop,high,"Interpretable Machine Learning Framework for Early-Stage Potato Yield Forecasting Using Climatic Features in Bangladesh . Abstract: Bangladesh, one of the wo",True,,,,,MODEL_ASSISTED_VALIDATION - not human review,False,W7161042727,correct,,,correct,,,{'BGD'},1,,allocation_ok
W4225894664,single_country|study_area,962,45,21.377777777777776,"Assessment of nutrient management in major cereals: Yield prediction, energy-use efficiency and greenhouse gas emission","Through improved nutrient management, sustainability of cereal production can be achieved by improving crop yield and economic indicators with reduced environmental footprints and energy use. The objectives of this study were to compare the crop yield and economics, and energy and environment related indicators as the measures of sustainability across three nutrient management practices in three major cereals of South Asia. Nutrient Expert (NE) based fertilizer recommendation, government recommendation (GR), and farmers' nutrient management practice (FP) were evaluated in 600 on-farm trials in two eastern Terai districts of Nepal during 2014-2016. The machine learning (Random Forest) approach was used to identify major indicators to predict grain yield variability. The NE-based recommendation had the highest and FP had the lowest grain yield and gross return in all cereals. Farmer's practice had the highest probability of increasing energy-use efficiency (EUE) followed by NE in all cereals. NE had the lowest yield-scaled greenhouse gas emission (greenhouse gas emission intensity; GHGI) in rice and intermediate in maize and wheat compared with GR or FP. Farmers' practice had consistently the highest GHGI in rice and maize while GR had the highest GHGI in wheat. Except for rice in FP, specific energy (SE) followed by EUE were the major predictors of grain yield of all crops in all nutrient management practices. These findings suggest an opportunity for increasing productivity and profitability with lowered GHGI of the major cereals with NE-based fertilizer recommendation and potential for its out-scaling in Nepal and the Eastern Indo-Gangetic Plains of South Asia.",single_country,NPL,Nepal,NPL,study_area,high,"Nutrient Expert (NE) based fertilizer recommendation, government recommendation (GR), and farmers' nutrient management practice (FP) were evaluated in 600 on-farm trials in two eastern Terai districts of Nepal during 2014-2016.",,maize;rice;wheat,multi_crop,medium,caled greenhouse gas emission (greenhouse gas emission intensity; GHGI) in rice and intermediate in maize and wheat compared with GR or FP. Farmers' practice had consistently the highest GHGI in rice,True,,,,,MODEL_ASSISTED_VALIDATION - not human review,False,W4225894664,correct,,,correct,,,{'NPL'},1,,allocation_ok
W3041629855,single_country|study_area,962,45,21.377777777777776,Wheat Yield Estimation from NDVI and Regional Climate Models in Latvia,"Wheat yield variability will increase in the future due to the projected increase in extreme weather events and long-term climate change effects. Currently, regional agricultural statistics are used to monitor wheat yield. Remotely sensed vegetation indices have a higher spatio-temporal resolution and could give more insight into crop yield. In this paper, we (i) evaluate the possibility to use Normalized Difference Vegetation Index (NDVI) time series to estimate wheat yield in Latvia and (ii) determine which weather variables impact wheat yield changes using both ALARO-0 and REMO Regional Climate Models (RCM) output. The integral from NDVI series (aNDVI) for winter and spring wheat fields is used as a predictor to model regional wheat yield from 2014 to 2018. A correlation analysis between weather variables, wheat yield and aNDVI was used to elucidate which weather variables impact wheat yield changes in Latvia. Our results indicate that high temperatures in June for spring wheat and in July for winter wheat had a negative correlation with yield. A linear regression yield model explained 71% of the variability with a residual standard error of 0.55 Mg/ha. When RCM data were added as predictor variables to the wheat yield empirical model a random forest approach resulted in better results compared to a linear regression approach, the explained variance increased up to 97% and the residual standard error decreased to 0.17 Mg/ha. We conclude that NDVI time series and RCM output enabled regional crop yield and weather impact monitoring at higher spatio-temporal resolutions than regional statistics.",single_country,LVA,Latvia,LVA,study_area,high,"In this paper, we (i) evaluate the possibility to use Normalized Difference Vegetation Index (NDVI) time series to estimate wheat yield in Latvia and (ii) determine which weather variables impact wheat yield changes using both ALARO-0 and REMO Regional Climate Models (RCM) output.",,wheat,single_crop,high,Wheat Yield Estimation from NDVI and Regional Climate Models in Latvia . Wheat yield variability wil,True,,,,,MODEL_ASSISTED_VALIDATION - not human review,False,W3041629855,correct,,,correct,,,{'LVA'},1,,allocation_ok
