openalex_id,title,before,removed,added,after,evidence,decision_method
W2120934246,Seeing is believing I: The use of thermal sensing from satellite imagery to predict crop yield,AUS;GBR,GBR,,AUS,"field of wheat, New South Wales, Australia",MODEL_ASSISTED_CORRECTION - deterministic string defect
W3107408591,Predicting within‐field cotton yields using publicly available datasets and machine learning,AUS;GBR,GBR,,AUS,"two cotton fields near Mungindi, New South Wales, Australia",MODEL_ASSISTED_CORRECTION - deterministic string defect
W4206381465,Evaluation of Random Forests (RF) for Regional and Local-Scale Wheat Yield Prediction in Southeast Australia,AUS;GBR,GBR,,AUS,"wheat paddocks in Victoria, New South Wales and South Australia",MODEL_ASSISTED_CORRECTION - deterministic string defect
W4404120595,Least absolute shrinkage and selection operator regression used to select important features when predicting w,AUS;GBR,GBR,,AUS,"field experiments at two locations in New South Wales, Australia",MODEL_ASSISTED_CORRECTION - deterministic string defect
W4405139381,"On crop yield modelling, predicting, and forecasting and addressing the common issues in published studies",AUS;GBR,GBR,,AUS,"neighbouring farms in New South Wales, Australia",MODEL_ASSISTED_CORRECTION - deterministic string defect
W7163057425,"Multi-Source Time-Series Integration for Progressive In-Season Prediction of Rice Yield, Aboveground Biomass, ",AUS;GBR,GBR,,AUS,"rice fields in southern New South Wales, Australia",MODEL_ASSISTED_CORRECTION - deterministic string defect
W2268886164,Modeling Maize Production towards Site Specific Fertilizer Recommendation in Ghana,GHA;GIN,GIN,,GHA,experiment at Kpalesawgu in Ghana; Guinea savanna is a zone,MODEL_ASSISTED_CORRECTION - deterministic string defect
W4308421688,Simulating potential yield of rainfed soybean in northeast Nigeria,GIN;NGA,GIN,,NGA,"trials at Zaria and Doguwa, northern Guinea savanna of Nigeria",MODEL_ASSISTED_CORRECTION - deterministic string defect
W4364360149,"Exploring the potential of mapped soil properties, rhizobium inoculation, and phosphorus supplementation for p",GIN;NGA,GIN,,NGA,"savanna areas of Nigeria: Sudan, Northern and Southern Guinea Savanna",MODEL_ASSISTED_CORRECTION - deterministic string defect
W2000673519,Cotton Yield Forecasting for the Southeastern United States Using Climate Indices,GEO;USA,GEO,,USA,"64 counties in Georgia and Alabama, United States",MODEL_ASSISTED_CORRECTION - deterministic string defect
W2970731140,Cotton Yield Estimate Using Sentinel-2 Data and an Ecosystem Model over the Southern US,GEO;USA,GEO,,USA,"Sentinel-2 tiles in Mississippi, Georgia and Texas, southern US",MODEL_ASSISTED_CORRECTION - deterministic string defect
W4307077699,Comparing Machine Learning Techniques for Alfalfa Biomass Yield Prediction,GEO,GEO,USA,USA,"alfalfa variety trials in Kentucky and Georgia, United States",MODEL_ASSISTED_CORRECTION - deterministic string defect
W7154632121,Ensemble Machine Learning for Peanut Yield Prediction from Weather Variables in Georgia (USA),GEO;USA,GEO,,USA,"peanut yield in Georgia, USA",MODEL_ASSISTED_CORRECTION - deterministic string defect
